date,forecast_max_c,historic_norm_c,anomaly_c,status,latitude,longitude
2026-08-08,25.7,21.06,4.64,forecast,50.5279,4.5284
2026-08-09,28.14,21.03,7.11,forecast,50.5279,4.5284
2026-08-10,26.06,21.0,5.06,forecast,50.5279,4.5284
2026-08-11,23.95,20.99,2.96,forecast,50.5279,4.5284
2026-08-12,28.13,20.96,7.17,forecast,50.5279,4.5284
2026-08-13,31.81,20.92,10.89,forecast,50.5279,4.5284
2026-08-14,32.51,20.88,11.63,forecast,50.5279,4.5284
2026-08-15,31.3,20.81,10.49,forecast,50.5279,4.5284
2026-08-16,25.88,20.71,5.17,forecast,50.5279,4.5284
2026-08-17,21.08,20.64,0.44,forecast,50.5279,4.5284
2026-08-18,14.95,20.58,-5.63,forecast,50.5279,4.5284
