month_day,historic_norm_c,sample_count,reference_period
01-01,3.96,930,1961-1990
01-02,3.92,930,1961-1990
01-03,3.87,930,1961-1990
01-04,3.84,930,1961-1990
01-05,3.83,930,1961-1990
01-06,3.81,930,1961-1990
01-07,3.78,930,1961-1990
01-08,3.78,930,1961-1990
01-09,3.77,930,1961-1990
01-10,3.79,930,1961-1990
01-11,3.81,930,1961-1990
01-12,3.83,930,1961-1990
01-13,3.87,930,1961-1990
01-14,3.92,930,1961-1990
01-15,3.95,930,1961-1990
01-16,3.98,930,1961-1990
01-17,4.03,930,1961-1990
01-18,4.06,930,1961-1990
01-19,4.11,930,1961-1990
01-20,4.17,930,1961-1990
01-21,4.26,930,1961-1990
01-22,4.34,930,1961-1990
01-23,4.44,930,1961-1990
01-24,4.55,930,1961-1990
01-25,4.63,930,1961-1990
01-26,4.68,930,1961-1990
01-27,4.72,930,1961-1990
01-28,4.79,930,1961-1990
01-29,4.85,930,1961-1990
01-30,4.84,930,1961-1990
01-31,4.81,930,1961-1990
02-01,4.81,930,1961-1990
02-02,4.83,930,1961-1990
02-03,4.87,930,1961-1990
02-04,4.9,930,1961-1990
02-05,4.93,930,1961-1990
02-06,4.98,930,1961-1990
02-07,5.03,930,1961-1990
02-08,5.07,930,1961-1990
02-09,5.12,930,1961-1990
02-10,5.14,930,1961-1990
02-11,5.16,930,1961-1990
02-12,5.18,930,1961-1990
02-13,5.22,930,1961-1990
02-14,5.22,907,1961-1990
02-15,5.26,907,1961-1990
02-16,5.3,907,1961-1990
02-17,5.35,907,1961-1990
02-18,5.39,907,1961-1990
02-19,5.43,907,1961-1990
02-20,5.49,907,1961-1990
02-21,5.52,907,1961-1990
02-22,5.57,907,1961-1990
02-23,5.62,907,1961-1990
02-24,5.69,907,1961-1990
02-25,5.77,907,1961-1990
02-26,5.86,907,1961-1990
02-27,5.96,907,1961-1990
02-28,6.07,907,1961-1990
02-29,6.2,907,1961-1990
03-01,6.36,907,1961-1990
03-02,6.54,907,1961-1990
03-03,6.7,907,1961-1990
03-04,6.84,907,1961-1990
03-05,6.99,907,1961-1990
03-06,7.13,907,1961-1990
03-07,7.24,907,1961-1990
03-08,7.35,907,1961-1990
03-09,7.47,907,1961-1990
03-10,7.6,907,1961-1990
03-11,7.71,907,1961-1990
03-12,7.83,907,1961-1990
03-13,7.95,907,1961-1990
03-14,8.09,907,1961-1990
03-15,8.21,907,1961-1990
03-16,8.28,930,1961-1990
03-17,8.43,930,1961-1990
03-18,8.56,930,1961-1990
03-19,8.66,930,1961-1990
03-20,8.74,930,1961-1990
03-21,8.85,930,1961-1990
03-22,8.96,930,1961-1990
03-23,9.09,930,1961-1990
03-24,9.19,930,1961-1990
03-25,9.29,930,1961-1990
03-26,9.4,930,1961-1990
03-27,9.48,930,1961-1990
03-28,9.58,930,1961-1990
03-29,9.67,930,1961-1990
03-30,9.76,930,1961-1990
03-31,9.9,930,1961-1990
04-01,10.03,930,1961-1990
04-02,10.16,930,1961-1990
04-03,10.3,930,1961-1990
04-04,10.44,930,1961-1990
04-05,10.56,930,1961-1990
04-06,10.7,930,1961-1990
04-07,10.87,930,1961-1990
04-08,10.99,930,1961-1990
04-09,11.09,930,1961-1990
04-10,11.17,930,1961-1990
04-11,11.27,930,1961-1990
04-12,11.36,930,1961-1990
04-13,11.45,930,1961-1990
04-14,11.55,930,1961-1990
04-15,11.68,930,1961-1990
04-16,11.81,930,1961-1990
04-17,11.92,930,1961-1990
04-18,12.04,930,1961-1990
04-19,12.21,930,1961-1990
04-20,12.41,930,1961-1990
04-21,12.59,930,1961-1990
04-22,12.75,930,1961-1990
04-23,12.91,930,1961-1990
04-24,13.09,930,1961-1990
04-25,13.21,930,1961-1990
04-26,13.33,930,1961-1990
04-27,13.51,930,1961-1990
04-28,13.68,930,1961-1990
04-29,13.86,930,1961-1990
04-30,14.03,930,1961-1990
05-01,14.16,930,1961-1990
05-02,14.29,930,1961-1990
05-03,14.43,930,1961-1990
05-04,14.54,930,1961-1990
05-05,14.66,930,1961-1990
05-06,14.75,930,1961-1990
05-07,14.86,930,1961-1990
05-08,14.94,930,1961-1990
05-09,15.06,930,1961-1990
05-10,15.19,930,1961-1990
05-11,15.34,930,1961-1990
05-12,15.48,930,1961-1990
05-13,15.63,930,1961-1990
05-14,15.77,930,1961-1990
05-15,15.92,930,1961-1990
05-16,16.04,930,1961-1990
05-17,16.17,930,1961-1990
05-18,16.28,930,1961-1990
05-19,16.4,930,1961-1990
05-20,16.52,930,1961-1990
05-21,16.61,930,1961-1990
05-22,16.71,930,1961-1990
05-23,16.79,930,1961-1990
05-24,16.87,930,1961-1990
05-25,16.96,930,1961-1990
05-26,17.1,930,1961-1990
05-27,17.21,930,1961-1990
05-28,17.3,930,1961-1990
05-29,17.41,930,1961-1990
05-30,17.51,930,1961-1990
05-31,17.59,930,1961-1990
06-01,17.64,930,1961-1990
06-02,17.71,930,1961-1990
06-03,17.78,930,1961-1990
06-04,17.85,930,1961-1990
06-05,17.93,930,1961-1990
06-06,18.06,930,1961-1990
06-07,18.14,930,1961-1990
06-08,18.25,930,1961-1990
06-09,18.34,930,1961-1990
06-10,18.45,930,1961-1990
06-11,18.55,930,1961-1990
06-12,18.63,930,1961-1990
06-13,18.67,930,1961-1990
06-14,18.73,930,1961-1990
06-15,18.83,930,1961-1990
06-16,18.9,930,1961-1990
06-17,19.01,930,1961-1990
06-18,19.09,930,1961-1990
06-19,19.16,930,1961-1990
06-20,19.25,930,1961-1990
06-21,19.34,930,1961-1990
06-22,19.43,930,1961-1990
06-23,19.52,930,1961-1990
06-24,19.61,930,1961-1990
06-25,19.66,930,1961-1990
06-26,19.73,930,1961-1990
06-27,19.83,930,1961-1990
06-28,19.89,930,1961-1990
